# Time     Position   Velocity(half-step)
0.00   0.10   0.30
0.01   0.10   0.30
0.02   0.11   0.30
0.03   0.11   0.30
0.04   0.11   0.30
0.05   0.11   0.29
0.06   0.12   0.29
0.07   0.12   0.29
0.08   0.12   0.29
0.09   0.13   0.29
0.10   0.13   0.29
0.11   0.13   0.29
0.12   0.14   0.29
0.13   0.14   0.28
0.14   0.14   0.28
0.15   0.14   0.28
0.16   0.15   0.28
0.17   0.15   0.28
0.18   0.15   0.28
0.19   0.15   0.28
0.20   0.16   0.27
0.21   0.16   0.27
0.22   0.16   0.27
0.23   0.17   0.27
0.24   0.17   0.27
0.25   0.17   0.27
0.26   0.17   0.26
0.27   0.18   0.26
0.28   0.18   0.26
0.29   0.18   0.26
0.30   0.18   0.26
0.31   0.19   0.26
0.32   0.19   0.25
0.33   0.19   0.25
0.34   0.19   0.25
0.35   0.20   0.25
0.36   0.20   0.25
0.37   0.20   0.24
0.38   0.20   0.24
0.39   0.21   0.24
0.40   0.21   0.24
0.41   0.21   0.24
0.42   0.21   0.23
0.43   0.22   0.23
0.44   0.22   0.23
0.45   0.22   0.23
0.46   0.22   0.23
0.47   0.22   0.22
0.48   0.23   0.22
0.49   0.23   0.22
0.50   0.23   0.22
0.51   0.23   0.21
0.52   0.24   0.21
0.53   0.24   0.21
0.54   0.24   0.21
0.55   0.24   0.20
0.56   0.24   0.20
0.57   0.25   0.20
0.58   0.25   0.20
0.59   0.25   0.19
0.60   0.25   0.19
0.61   0.25   0.19
0.62   0.26   0.19
0.63   0.26   0.18
0.64   0.26   0.18
0.65   0.26   0.18
0.66   0.26   0.18
0.67   0.26   0.17
0.68   0.27   0.17
0.69   0.27   0.17
0.70   0.27   0.17
0.71   0.27   0.16
0.72   0.27   0.16
0.73   0.27   0.16
0.74   0.28   0.16
0.75   0.28   0.15
0.76   0.28   0.15
0.77   0.28   0.15
0.78   0.28   0.14
0.79   0.28   0.14
0.80   0.28   0.14
0.81   0.29   0.14
0.82   0.29   0.13
0.83   0.29   0.13
0.84   0.29   0.13
0.85   0.29   0.12
0.86   0.29   0.12
0.87   0.29   0.12
0.88   0.29   0.12
0.89   0.30   0.11
0.90   0.30   0.11
0.91   0.30   0.11
0.92   0.30   0.10
0.93   0.30   0.10
0.94   0.30   0.10
0.95   0.30   0.09
0.96   0.30   0.09
0.97   0.30   0.09
0.98   0.30   0.09
0.99   0.31   0.08
1.00   0.31   0.08
1.01   0.31   0.08
1.02   0.31   0.07
1.03   0.31   0.07
1.04   0.31   0.07
1.05   0.31   0.06
1.06   0.31   0.06
1.07   0.31   0.06
1.08   0.31   0.05
1.09   0.31   0.05
1.10   0.31   0.05
1.11   0.31   0.05
1.12   0.31   0.04
1.13   0.31   0.04
1.14   0.31   0.04
1.15   0.31   0.03
1.16   0.31   0.03
1.17   0.31   0.03
1.18   0.32   0.02
1.19   0.32   0.02
1.20   0.32   0.02
1.21   0.32   0.01
1.22   0.32   0.01
1.23   0.32   0.01
1.24   0.32   0.00
1.25   0.32   0.00
1.26   0.32   -0.00
1.27   0.32   -0.01
1.28   0.32   -0.01
1.29   0.32   -0.01
1.30   0.32   -0.01
1.31   0.32   -0.02
1.32   0.31   -0.02
1.33   0.31   -0.02
1.34   0.31   -0.03
1.35   0.31   -0.03
1.36   0.31   -0.03
1.37   0.31   -0.04
1.38   0.31   -0.04
1.39   0.31   -0.04
1.40   0.31   -0.05
1.41   0.31   -0.05
1.42   0.31   -0.05
1.43   0.31   -0.06
1.44   0.31   -0.06
1.45   0.31   -0.06
1.46   0.31   -0.06
1.47   0.31   -0.07
1.48   0.31   -0.07
1.49   0.31   -0.07
1.50   0.31   -0.08
1.51   0.31   -0.08
1.52   0.30   -0.08
1.53   0.30   -0.09
1.54   0.30   -0.09
1.55   0.30   -0.09
1.56   0.30   -0.10
1.57   0.30   -0.10
1.58   0.30   -0.10
1.59   0.30   -0.10
1.60   0.30   -0.11
1.61   0.30   -0.11
1.62   0.29   -0.11
1.63   0.29   -0.12
1.64   0.29   -0.12
1.65   0.29   -0.12
1.66   0.29   -0.12
1.67   0.29   -0.13
1.68   0.29   -0.13
1.69   0.29   -0.13
1.70   0.28   -0.14
1.71   0.28   -0.14
1.72   0.28   -0.14
1.73   0.28   -0.14
1.74   0.28   -0.15
1.75   0.28   -0.15
1.76   0.28   -0.15
1.77   0.27   -0.16
1.78   0.27   -0.16
1.79   0.27   -0.16
1.80   0.27   -0.16
1.81   0.27   -0.17
1.82   0.27   -0.17
1.83   0.26   -0.17
1.84   0.26   -0.17
1.85   0.26   -0.18
1.86   0.26   -0.18
1.87   0.26   -0.18
1.88   0.25   -0.19
1.89   0.25   -0.19
1.90   0.25   -0.19
1.91   0.25   -0.19
1.92   0.25   -0.20
1.93   0.25   -0.20
1.94   0.24   -0.20
1.95   0.24   -0.20
1.96   0.24   -0.20
1.97   0.24   -0.21
1.98   0.23   -0.21
1.99   0.23   -0.21
2.00   0.23   -0.21
2.01   0.23   -0.22
2.02   0.23   -0.22
2.03   0.22   -0.22
2.04   0.22   -0.22
2.05   0.22   -0.23
2.06   0.22   -0.23
2.07   0.22   -0.23
2.08   0.21   -0.23
2.09   0.21   -0.23
2.10   0.21   -0.24
2.11   0.21   -0.24
2.12   0.20   -0.24
2.13   0.20   -0.24
2.14   0.20   -0.24
2.15   0.20   -0.25
2.16   0.19   -0.25
2.17   0.19   -0.25
2.18   0.19   -0.25
2.19   0.19   -0.25
2.20   0.18   -0.26
2.21   0.18   -0.26
2.22   0.18   -0.26
2.23   0.18   -0.26
2.24   0.17   -0.26
2.25   0.17   -0.27
2.26   0.17   -0.27
2.27   0.16   -0.27
2.28   0.16   -0.27
2.29   0.16   -0.27
2.30   0.16   -0.27
2.31   0.15   -0.27
2.32   0.15   -0.28
2.33   0.15   -0.28
2.34   0.15   -0.28
2.35   0.14   -0.28
2.36   0.14   -0.28
2.37   0.14   -0.28
2.38   0.13   -0.29
2.39   0.13   -0.29
2.40   0.13   -0.29
2.41   0.13   -0.29
2.42   0.12   -0.29
2.43   0.12   -0.29
2.44   0.12   -0.29
2.45   0.11   -0.29
2.46   0.11   -0.30
2.47   0.11   -0.30
2.48   0.11   -0.30
2.49   0.10   -0.30
2.50   0.10   -0.30
2.51   0.10   -0.30
2.52   0.09   -0.30
2.53   0.09   -0.30
2.54   0.09   -0.30
2.55   0.08   -0.30
2.56   0.08   -0.30
2.57   0.08   -0.31
2.58   0.07   -0.31
2.59   0.07   -0.31
2.60   0.07   -0.31
2.61   0.07   -0.31
2.62   0.06   -0.31
2.63   0.06   -0.31
2.64   0.06   -0.31
2.65   0.05   -0.31
2.66   0.05   -0.31
2.67   0.05   -0.31
2.68   0.04   -0.31
2.69   0.04   -0.31
2.70   0.04   -0.31
2.71   0.03   -0.31
2.72   0.03   -0.31
2.73   0.03   -0.31
2.74   0.03   -0.31
2.75   0.02   -0.31
2.76   0.02   -0.32
2.77   0.02   -0.32
2.78   0.01   -0.32
2.79   0.01   -0.32
2.80   0.01   -0.32
2.81   0.00   -0.32
2.82   -0.00   -0.32
2.83   -0.00   -0.32
2.84   -0.01   -0.32
2.85   -0.01   -0.32
2.86   -0.01   -0.32
2.87   -0.02   -0.32
2.88   -0.02   -0.32
2.89   -0.02   -0.32
2.90   -0.03   -0.31
2.91   -0.03   -0.31
2.92   -0.03   -0.31
2.93   -0.03   -0.31
2.94   -0.04   -0.31
2.95   -0.04   -0.31
2.96   -0.04   -0.31
2.97   -0.05   -0.31
2.98   -0.05   -0.31
2.99   -0.05   -0.31
3.00   -0.06   -0.31
3.01   -0.06   -0.31
3.02   -0.06   -0.31
3.03   -0.07   -0.31
3.04   -0.07   -0.31
3.05   -0.07   -0.31
3.06   -0.08   -0.31
3.07   -0.08   -0.31
3.08   -0.08   -0.31
3.09   -0.08   -0.30
3.10   -0.09   -0.30
3.11   -0.09   -0.30
3.12   -0.09   -0.30
3.13   -0.10   -0.30
3.14   -0.10   -0.30
3.15   -0.10   -0.30
3.16   -0.11   -0.30
3.17   -0.11   -0.30
3.18   -0.11   -0.30
3.19   -0.11   -0.29
3.20   -0.12   -0.29
3.21   -0.12   -0.29
3.22   -0.12   -0.29
3.23   -0.13   -0.29
3.24   -0.13   -0.29
3.25   -0.13   -0.29
3.26   -0.13   -0.29
3.27   -0.14   -0.28
3.28   -0.14   -0.28
3.29   -0.14   -0.28
3.30   -0.15   -0.28
3.31   -0.15   -0.28
3.32   -0.15   -0.28
3.33   -0.15   -0.28
3.34   -0.16   -0.27
3.35   -0.16   -0.27
3.36   -0.16   -0.27
3.37   -0.17   -0.27
3.38   -0.17   -0.27
3.39   -0.17   -0.27
3.40   -0.17   -0.26
3.41   -0.18   -0.26
3.42   -0.18   -0.26
3.43   -0.18   -0.26
3.44   -0.18   -0.26
3.45   -0.19   -0.26
3.46   -0.19   -0.25
3.47   -0.19   -0.25
3.48   -0.19   -0.25
3.49   -0.20   -0.25
3.50   -0.20   -0.25
3.51   -0.20   -0.24
3.52   -0.20   -0.24
3.53   -0.21   -0.24
3.54   -0.21   -0.24
3.55   -0.21   -0.24
3.56   -0.21   -0.23
3.57   -0.22   -0.23
3.58   -0.22   -0.23
3.59   -0.22   -0.23
3.60   -0.22   -0.23
3.61   -0.22   -0.22
3.62   -0.23   -0.22
3.63   -0.23   -0.22
3.64   -0.23   -0.22
3.65   -0.23   -0.21
3.66   -0.24   -0.21
