# Time	KE	PE	Total
0.000000	4.500000e-02	5.000000e-03	5.000000e-02
0.010000	4.500000e-02	5.000000e-03	5.000000e-02
0.020000	4.500000e-02	6.050000e-03	5.105000e-02
0.030000	4.500000e-02	6.050000e-03	5.105000e-02
0.040000	4.500000e-02	6.050000e-03	5.105000e-02
0.050000	4.205000e-02	6.050000e-03	4.810000e-02
0.060000	4.205000e-02	7.200000e-03	4.925000e-02
0.070000	4.205000e-02	7.200000e-03	4.925000e-02
0.080000	4.205000e-02	7.200000e-03	4.925000e-02
0.090000	4.205000e-02	8.450000e-03	5.050000e-02
0.100000	4.205000e-02	8.450000e-03	5.050000e-02
0.110000	4.205000e-02	8.450000e-03	5.050000e-02
0.120000	4.205000e-02	9.800000e-03	5.185000e-02
0.130000	3.920000e-02	9.800000e-03	4.900000e-02
0.140000	3.920000e-02	9.800000e-03	4.900000e-02
0.150000	3.920000e-02	9.800000e-03	4.900000e-02
0.160000	3.920000e-02	1.125000e-02	5.045000e-02
0.170000	3.920000e-02	1.125000e-02	5.045000e-02
0.180000	3.920000e-02	1.125000e-02	5.045000e-02
0.190000	3.920000e-02	1.125000e-02	5.045000e-02
0.200000	3.645000e-02	1.280000e-02	4.925000e-02
0.210000	3.645000e-02	1.280000e-02	4.925000e-02
0.220000	3.645000e-02	1.280000e-02	4.925000e-02
0.230000	3.645000e-02	1.445000e-02	5.090000e-02
0.240000	3.645000e-02	1.445000e-02	5.090000e-02
0.250000	3.645000e-02	1.445000e-02	5.090000e-02
0.260000	3.380000e-02	1.445000e-02	4.825000e-02
0.270000	3.380000e-02	1.620000e-02	5.000000e-02
0.280000	3.380000e-02	1.620000e-02	5.000000e-02
0.290000	3.380000e-02	1.620000e-02	5.000000e-02
0.300000	3.380000e-02	1.620000e-02	5.000000e-02
0.310000	3.380000e-02	1.805000e-02	5.185000e-02
0.320000	3.125000e-02	1.805000e-02	4.930000e-02
0.330000	3.125000e-02	1.805000e-02	4.930000e-02
0.340000	3.125000e-02	1.805000e-02	4.930000e-02
0.350000	3.125000e-02	2.000000e-02	5.125000e-02
0.360000	3.125000e-02	2.000000e-02	5.125000e-02
0.370000	2.880000e-02	2.000000e-02	4.880000e-02
0.380000	2.880000e-02	2.000000e-02	4.880000e-02
0.390000	2.880000e-02	2.205000e-02	5.085000e-02
0.400000	2.880000e-02	2.205000e-02	5.085000e-02
0.410000	2.880000e-02	2.205000e-02	5.085000e-02
0.420000	2.645000e-02	2.205000e-02	4.850000e-02
0.430000	2.645000e-02	2.420000e-02	5.065000e-02
0.440000	2.645000e-02	2.420000e-02	5.065000e-02
0.450000	2.645000e-02	2.420000e-02	5.065000e-02
0.460000	2.645000e-02	2.420000e-02	5.065000e-02
0.470000	2.420000e-02	2.420000e-02	4.840000e-02
0.480000	2.420000e-02	2.645000e-02	5.065000e-02
0.490000	2.420000e-02	2.645000e-02	5.065000e-02
0.500000	2.420000e-02	2.645000e-02	5.065000e-02
0.510000	2.205000e-02	2.645000e-02	4.850000e-02
0.520000	2.205000e-02	2.880000e-02	5.085000e-02
0.530000	2.205000e-02	2.880000e-02	5.085000e-02
0.540000	2.205000e-02	2.880000e-02	5.085000e-02
0.550000	2.000000e-02	2.880000e-02	4.880000e-02
0.560000	2.000000e-02	2.880000e-02	4.880000e-02
0.570000	2.000000e-02	3.125000e-02	5.125000e-02
0.580000	2.000000e-02	3.125000e-02	5.125000e-02
0.590000	1.805000e-02	3.125000e-02	4.930000e-02
0.600000	1.805000e-02	3.125000e-02	4.930000e-02
0.610000	1.805000e-02	3.125000e-02	4.930000e-02
0.620000	1.805000e-02	3.380000e-02	5.185000e-02
0.630000	1.620000e-02	3.380000e-02	5.000000e-02
0.640000	1.620000e-02	3.380000e-02	5.000000e-02
0.650000	1.620000e-02	3.380000e-02	5.000000e-02
0.660000	1.620000e-02	3.380000e-02	5.000000e-02
0.670000	1.445000e-02	3.380000e-02	4.825000e-02
0.680000	1.445000e-02	3.645000e-02	5.090000e-02
0.690000	1.445000e-02	3.645000e-02	5.090000e-02
0.700000	1.445000e-02	3.645000e-02	5.090000e-02
0.710000	1.280000e-02	3.645000e-02	4.925000e-02
0.720000	1.280000e-02	3.645000e-02	4.925000e-02
0.730000	1.280000e-02	3.645000e-02	4.925000e-02
0.740000	1.280000e-02	3.920000e-02	5.200000e-02
0.750000	1.125000e-02	3.920000e-02	5.045000e-02
0.760000	1.125000e-02	3.920000e-02	5.045000e-02
0.770000	1.125000e-02	3.920000e-02	5.045000e-02
0.780000	9.800000e-03	3.920000e-02	4.900000e-02
0.790000	9.800000e-03	3.920000e-02	4.900000e-02
0.800000	9.800000e-03	3.920000e-02	4.900000e-02
